,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
3890,"'Wireless Broadband', 'Postpaid Roaming', 'Prepaid', 'Prepaid International'",'DSL',0.11003236245954692,0.5544768069039914,0.10571736785329018,0.9607843137254902,1.732776379034104,0.04470697486061799,11.360841423948228
4246,"'F2H Fiber', 'DTH HD', 'Postpaid Roaming', 'Postpaid'",'Wireless Broadband',0.10679611650485436,0.6289104638619202,0.09816612729234088,0.9191919191919192,1.461562451270856,0.031000932122621255,4.59223300970874
4395,"'F2H Fiber', 'Prepaid', 'Postpaid Roaming', 'DTH HD'",'Wireless Broadband',0.09600862998921252,0.6289104638619202,0.08845738942826321,0.9213483146067415,1.464991230944167,0.02807655740700011,4.718138388041296
4425,"'F2H Fiber', 'Postpaid Roaming', 'DTH HD', 'Prepaid International'",'Wireless Broadband',0.09385113268608414,0.6289104638619202,0.08629989212513485,0.9195402298850576,1.4621162831963093,0.027275932733563053,4.612112806287569
4484,"'Prepaid', 'Postpaid', 'Postpaid Roaming', 'DTH HD'",'Wireless Broadband',0.09061488673139159,0.6289104638619202,0.08629989212513485,0.9523809523809524,1.5143347218818917,0.02931124167810001,7.792880258899686
4514,"'DTH HD', 'Postpaid Roaming', 'Postpaid', 'Prepaid International'",'Wireless Broadband',0.08737864077669903,0.6289104638619202,0.08198489751887811,0.9382716049382717,1.4919001334095674,0.02703155601638023,6.011650485436899
4573,"'Prepaid', 'Postpaid Roaming', 'DTH HD', 'Prepaid International'",'Wireless Broadband',0.08414239482200647,0.6289104638619202,0.07766990291262135,0.923076923076923,1.4677398073624488,0.024751870354660428,4.824163969795034
4600,"'F2H Fiber', 'DTH SD', 'Wireless Broadband', 'Postpaid Roaming'",'Postpaid',0.10032362459546926,0.5480043149946062,0.09061488673139159,0.903225806451613,1.648209296418593,0.03563710755717543,4.670622078389073
4601,"'F2H Fiber', 'DTH SD', 'Postpaid Roaming', 'Postpaid'",'Wireless Broadband',0.0970873786407767,0.6289104638619202,0.09061488673139159,0.9333333333333335,1.484048027444254,0.02955561839528284,5.566343042071208
4660,"'Prepaid', 'DTH SD', 'F2H Fiber', 'Postpaid'",'Wireless Broadband',0.15857605177993528,0.6289104638619202,0.14347357065803668,0.9047619047619048,1.4386179857877972,0.04374343237572571,3.8964401294498385
